cas_actor1,cas_actor2,cas_actor3,cas_actor4,cas_actor5,cas_actor6,cas_actor7,cas_actor8,cas_actor9,cas_actor10,crew_Director,id
Wallace Shawn,Julianne Moore,Larry Pine,Brooke Smith,George Gaynes,Lynn Cohen,Phoebe Brand,Jerry Mayer,Andre Gregory,Madhur Jaffrey,Louis Malle,32636
,,,,,,,,,,Steven Soderbergh,36141
Allen Payne,Eddie Griffin,Joe Morton,Vonte Sweet,Roger Floyd,Ion Overman,,,,,Preston A. Whitmore II,95963
,,,,,,,,,,Lasse Hallström,1587
,,,,,,,,,,Brett Leonard,9271
Sandra Bullock,Bill Pullman,Peter Gallagher,Peter Boyle,Jack Warden,Glynis Johns,Micole Mercurio,Monica Keena,Susan Messing,Marcia Wright,Jon Turteltaub,2064
,,,,,,,,,,Jon Avnet,19855
Sandra Oh,Stephen Chang,Alannah Ong,Donald Fong,Frances You,Callum Keith Rennie,,,,,Mina Shum,60855
,,,,,,,,,,P.J. Hogan,236
,,,,,,,,,,Melanie Mayron,48287
,,,,,,,,,,Tom Shadyac,3049
Terence Stamp,Hugo Weaving,Guy Pearce,Bill Hunter,Sarah Chadwick,June Marie Bennett,,,,,Stephan Elliott,2759
,,,,,,,,,,Iain Softley,12635
,,,,,,,,,,Roman Polanski,10497
,,,,,,,,,,Woody Allen,11382
,,,,,,,,,,Phillip Noyce,9331
,,,,,,,,,,Joel Schumacher,10731
Whoopi Goldberg,Ray Liotta,Tina Majorino,Joan Cusack,Larry Miller,Brent Spiner,Tommy Bertelsen,,,,Jessie Nelson,10464
,,,,,,,,,,Spike Lee,34152
,,,,,,,,,,Alex Proyas,9495
Tommy Lee Jones,Robert Wuhl,Lolita Davidovich,Ned Bellamy,,,,,,,Ron Shelton,29973
,,,,,,,,,,Brian Levant,888
,,,,,,,,,,Robert Zemeckis,13
,,,,,,,,,,Mike Newell,712
,,,,,,,,,,John Singleton,16295
Lauren Vélez,Jon Seda,Tomas Melly,Desiree Casado,Isaiah Garcia,Jesse Borrego,Lisa Vidal,Griffin Dunne,Rita Moreno,,Darnell Martin,48992
,,,,,,,,,,Charles Shyer,10879
,,,,,,,,,,Andrew Bergman,10660
Jason Scott Lee,Cary Elwes,Lena Headey,Sam Neill,John Cleese,Jason Flemyng,,,,,Stephen Sommers,10714
Leni Riefenstahl,Marlene Dietrich,Walter Frentz,Horst Kettner,Ray Müller,Luis Trenker,Guzzi Lantschner,,,,Ray Müller,41647
,,,,,,,,,,Rob Minkoff,8587
,,,,,,,,,,Bernardo Bertolucci,1689
,,,,,,,,,,Wes Craven,11596
,,,,,,,,,,Chuck Russell,854
,,,,,,,,,,Richard Donner,9359
,,,,,,,,,,Alan Rudolph,23333
,,,,,,,,,,Peter Segal,36593
Michael Keaton,Robert Duvall,Glenn Close,Marisa Tomei,Randy Quaid,Jason Alexander,Catherine O'Hara,Jason Robards,Siobhan Fallon,Jill Hennessy,Ron Howard,12280
,,,,,,,,,,Ben Stiller,2788
,,,,,,,,,,John Dahl,10427
Macaulay Culkin,John Larroquette,Edward Herrmann,Christine Ebersole,Michael Maccarone,Joel Robinson,Jonathan Hilario,Rory Culkin,Jonathan Hyde,Stephi Lineburg,Donald Petrie,11011
Susan Sarandon,Nick Stahl,Sam Shepard,Marcia Gay Harden,Robert Sean Leonard,Sean Astin,Patricia Reeves,,,,Robert Allan Ackerman,49803
Meryl Streep,David Strathairn,Kevin Bacon,Benjamin Bratt,John C. Reilly,Joseph Mazzello,Stephanie Sawyer,William Lucking,Elizabeth Hoffman,Victor Galloway,Curtis Hanson,8987
,,,,,,,,,,Jan de Bont,1637
Michael Keaton,Geena Davis,Christopher Reeve,Bonnie Bedelia,Ernie Hudson,Charles Martin Smith,Harry Shearer,Steven Wright,Willie Garson,,Ron Underwood,15128
,,,,,,,,,,Peter Hyams,8831
Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold,Bill Paxton,Tia Carrere,Art Malik,Eliza Dushku,Grant Heslov,Charlton Heston,Marshall Manesh,James Cameron,36955
,,,,,,,,,,Luis Mandoki,10449
,,,,,,,,,,Mike Nichols,10395
,,,,,,,,,,Lawrence Kasdan,12160
Laurence Fishburne,Ellen Barkin,Frank Langella,Michael Beach,David Ogden Stiers,Daniel Hugh Kelly,Gia Carides,,,,Damian Harris,40480
Albert Finney,Brenda Fricker,Michael Gambon,Tara Fitzgerald,Rufus Sewell,Patrick Malahide,David Kelly,,,,Suri Krishnamma,52038
Stephen Dorff,Reese Witherspoon,Jake Busey,Joey Lauren Adams,Pamela Gidley,David Barry Gray,Jack Noseworthy,Richard Portnow,Tobey Maguire,,Jefery Levy,29444
,,,,,,,,,,Keenen Ivory Wayans,26352
,,,,,,,,,,Raoul O'Connell,39953
Gérard Depardieu,Fanny Ardant,Fabrice Luchini,André Dussollier,Eric Elmosnino,Claude Rich,Julie Depardieu,Romane Bohringer,,,Yves Angelo,41580
Tura Satana,Haji,Lori Williams,Sue Bernard,Stuart Lancaster,Paul Trinka,Dennis Busch,Ray Barlow,John Furlong,Michael Finn,Russ Meyer,315
Allen Payne,Jada Pinkett Smith,Bokeem Woodbine,Eddie Griffin,Suzzanne Douglas,Lisa Nicole Carson,Lahmard J. Tate,Forest Whitaker,Sandra 'Pepa' Denton,,Doug McHenry,22067
Nick Upton,Deborah Collard,Frank Passingham,,,,,,,,Dave Borthwick,18242
,,,,,,,,,,Steven E. de Souza,11667
Michael J. Fox,Jason Priestley,Kimberly Williams-Paisley,Janeane Garofalo,Robert Loggia,Peter Riegert,Josh Charles,David Anthony Higgins,Doris Grau,,Wallace Wolodarsky,32502
Michael A. Nickles,Adam Ant,Heather Graham,Jessica Hamilton,Jack Kehler,Kay Parker,Nick Searcy,Grace Zabriskie,,,Michael A. Nickles,267188
Steve Alden,David Arquette,Stephen Baldwin,Mickey Rourke,Sheryl Lee,,,,,,Paul Warner,28732
,,,,,,,,,,Vincent Robert,75555
,,,,,,,,,,Theodore Thomas,42981
Эрика Элениак,William McNamara,Michael Lerner,Bud Cort,Ed Lauter,Valerie Perrine,,,,,Lucas Platt,278939
Blythe Danner,Frank Whaley,Sheryl Lee,Danny Nucci,Bruce Davison,,,,,,Ross Kagan Marks,291731
Edward James Olmos,Sean Young,James Andronica,Tony King,,,,,,,Paul Williams,226229
Robert Wuhl,Tom Selleck,Joe Piscopo,Dina Merrill,Catherine Kellner,Roger Dunn,,,,,Robert Wuhl,203119
Damián Alcázar,Pedro Armendáriz Jr.,Dolores Heredia,José Carlos Ruiz,,,,,,,Roberto Sneider,172923
Roscoe Lee Browne,,,,,,,,,,Jefri Aalmuhammed,316098
Christopher Lambert,Mario Van Peebles,Deborah Kara Unger,Mako,Martin Neufeld,Daniel Do,Michael Jayston,Louis Bertignac,,,Andrew Morahan,8011
Nicholas Turturro,Anthony DeSando,Libby Langdon,,,,,,,,Michael Corrente,171857
,,,,,,,,,,John Carpenter,2654
Luke Perry,Stephen Baldwin,Cynthia Geary,James Rebhorn,Carrie Snodgress,Linden Ashby,,,,,John G. Avildsen,18069
Duane Martin,Tupac Amaru Shakur,Bernie Mac,Marlon Wayans,Leon Robinson,Wood Harris,Michael Rispoli,,,,Jeff Pollack,19092
,,,,,,,,,,Barry Sonnenfeld,2758
Martin Lawrence,,,,,,,,,,Thomas Schlamme,38129
,,,,,,,,,,Martin Scorsese,10436
,,,,,,,,,,Michael Lehmann,13595
,,,,,,,,,,Paul Michael Glaser,46094
Richard Dreyfuss,Emilio Estevez,Rosie O'Donnell,Dennis Farina,Miguel Ferrer,Cathy Moriarty,Marcia Strassman,Dan Lauria,Madeleine Stowe,,John Badham,9409
Madeleine Stowe,Mary Stuart Masterson,Andie MacDowell,Drew Barrymore,James Russo,James Le Gros,Robert Loggia,Dermot Mulroney,Jim Beaver,,Jonathan Kaplan,11853
Taylor Nichols,Chris Eigeman,Mira Sorvino,Tushka Bergen,Pep Munné,,,,,,Whit Stillman,16771
,,,,,,,,,,Bill Forsyth,46924
,,,,,,,,,,Penelope Spheeris,11041
,,,,,,,,,,John Landis,306
,,,,,,,,,,Caroline Thompson,14522
Madeleine Stowe,Aidan Quinn,James Remar,Peter Friedman,Bruce A. Young,Laurie Metcalf,Matt Roth,Lia D. Mortensen,,,Michael Apted,26203
,,,,,,,,,,Stephen Hopkins,178
Nick Nolte,Shaquille O'Neal,Mary McDonnell,J.T. Walsh,Ed O'Neill,Alfre Woodard,Bob Cousy,"Louis Gossett, Jr.",Robert Wuhl,Penny Hardaway,William Friedkin,19819
Jessica Lange,Tommy Lee Jones,Powers Boothe,Carrie Snodgress,Amy Locane,Chris O'Donnell,,,,,Tony Richardson,57834
Gabrielle Anwar,Terry Kinney,Billy Wirth,Christine Elise,Forest Whitaker,Kathleen Doyle,Reilly Murphy,G. Elvis Phillips,Meg Tilly,R. Lee Ermey,Abel Ferrara,4722
,,,,,,,,,,Jennifer Chambers Lynch,18215
,,,,,,,,,,Robert De Niro,1607
,,,,,,,,,,Adam Resnick,26391
Jason Priestley,Gabriel Olds,Jerry O'Connell,Joe Pantoliano,Steve Railsback,Stephen Tobolowsky,Stephanie Anderson,Chubby Checker,,,John Whitesell,117553
,,,,,,,,,,Brian De Palma,6075
,,,,,,,,,,Paul Weiland,11310
,,,,,,,,,,Mick Jackson,18658
,,,,,,,,,,Renny Harlin,9350
,,,,,,,,,,Steve Barron,9612
,,,,,,,,,,Richard Rush,2124
Chevy Chase,Jack Palance,Dianne Wiest,Robert Davi,David Barry Gray,Jason James Richter,Fay Masterson,Miko Hughes,,,Michael Ritchie,26261
,,,,,,,,,,Gregg Champion,19176
Harvey Keitel,Madonna,James Russo,Nancy Ferrara,Reilly Murphy,Victor Argo,,,,,Abel Ferrara,49299
,,,,,,,,,,Ivan Reitman,11566
,,,,,,,,,,Richard Linklater,9571
,,,,,,,,,,Marco Brambilla,9739
,,,,,,,,,,Bruce Brown,24257
,,,,,,,,,,Gus Van Sant,34444
Armand Assante,Sherilyn Fenn,Kate Nelligan,Sean Young,Christopher McDonald,James Remar,Tony Randall,Clarence Clemons,Keith Campbell,Michael Cumpsty,Carl Reiner,26141
,,,,,,,,,,Chen Kaige,10997
Harley Jane Kozak,Elizabeth McGovern,Bill Pullman,Brad Pitt,Ken Wahl,Larry Miller,Holland Taylor,,,,Donald Petrie,50463
,,,,,,,,,,Peter Weir,10443
Larry B. Scott,Mark Christopher Lawrence,Rusty Cundieff,Kasi Lemmons,G. Smokey Campbell,Faizon Love,Deezer D,Devin Kamin,,,Rusty Cundieff,20239
,,,,,,,,,,Alek Keshishian,16297
,,,,,,,,,,Steve Kloves,18551
Mia Farrow,Jim Broadbent,Natasha Richardson,Adrian Dunbar,Joan Plowright,,,,,,John Irvin,25440
,,,,,,,,,,Barry Sonnenfeld,9024
,,,,,,,,,,Sydney Pollack,37233
,,,,,,,,,,Simon Wincer,1634
,,,,,,,,,,Boaz Yakin,13815
,,,,,,,,,,Andrew Davis,5503
,,,,,,,,,,Walter Hill,35588
,,,,,,,,,,Roger Donaldson,2087
Macaulay Culkin,Ted Danson,Glenne Headly,Saul Rubinek,Seth Smith,Sam Horrigan,,,,,Howard Deutch,41579
Guinevere Turner,V.S. Brodie,T. Wendy McMillan,Migdalia Melendez,Anastasia Sharp,,,,,,Rose Troche,18620
Colin Friels,Sean Connery,John Lithgow,Diana Rigg,Joanne Whalley,"Louis Gossett, Jr.",,,,,Bruce Beresford,41006
Rebecca De Mornay,Don Johnson,Dana Ivey,Stephen Lang,Jack Warden,Ron White,Norma Dell'Agnese,Sean McCann,Luis Guzmán,,Sidney Lumet,4916
,,,,,,,,,,John Woo,2019
,,,,,,,,,,Oliver Stone,31642
,,,,,,,,,,Jim Abrahams,9255
,,,,,,,,,,Julianna Lavin,26271
,,,,,,,,,,Christopher Monger,10612
,,,,,,,,,,Bille August,2259
,,,,,,,,,,Eric Meza,16097
,,,,,,,,,,Joel Coen,11934
,,,,,,,,,,James L. Brooks,106143
Pauly Shore,Andy Dick,Lori Petty,David Alan Grier,Esai Morales,Lynn Whitfield,,,,,"Daniel Petrie, Jr.",12475
,,,,,,,,,,Wolfgang Petersen,9386
,,,,,,,,,,Jim Sheridan,7984
Larenz Tate,Joe Morton,Suzzanne Douglas,Glynn Turman,Vanessa Bell Calloway,A.J. Johnson,Моррис Честнат,Jada Pinkett Smith,Duane Martin,,Matty Rich,59930
,,,,,,,,,,Brian Gibson,15765
Joe Pesci,Christian Slater,Victoria Abril,Harrison Ford,Barry Levinson,,,,,,Barry Levinson,31643
,,,,,,,,,,Stephen Hopkins,6
,,,,,,,,,,Steven Spielberg,329
,,,,,,,,,,Dominic Sena,10909
,,,,,,,,,,Roger Avary,507
,,,,,,,,,,Steven Soderbergh,34024
Tom Guiry,Helen Slater,Jon Tenney,Brittany Boyd,Frederic Forrest,Richard Farnsworth,Michelle Williams,,,,Daniel Petrie,29918
,,,,,,,,,,John McTiernan,9593
Michael J. Fox,Christina Vidal,Nathan Lane,Victor Garber,David Krumholtz,Cyndi Lauper,David Huddleston,,,,James Lapine,42580
Paul Hogan,Beverly D'Angelo,Cuba Gooding Jr.,Pat Hingle,Richard Riehle,Frank McRae,Roger Daltrey,L.Q. Jones,Roy Brocksmith,Kamala Lopez,Greg Coote,22317
Jeremy Irons,John Lone,Barbara Sukowa,Ian Richardson,Annabel Leventon,Vernon Dobtcheff,Shizuko Hoshi,,,,David Cronenberg,1413
Whoopi Goldberg,Ted Danson,Nia Long,Will Smith,Jennifer Tilly,,,,,,Richard Benjamin,12121
,,,,,,,,,,Harold Becker,2246
,,,,,,,,,,Mel Gibson,10502
,,,,,,,,,,Woody Allen,10440
,,,,,,,,,,Allen Hughes,9516
,,,,,,,,,,Stuart Baird,2320
Eiko Matsuda,Tatsuya Fuji,Aoi Nakajima,Yasuko Matsui,Meika Seri,Kanae Kobayashi,Taiji Tonoyama,Akiko Koyama,,,Nagisa Ōshima,5879
Karen Sillas,Tom Noonan,,,,,,,,,Tom Noonan,83718
,,,,,,,,,,Kenneth Branagh,11971
,,,,,,,,,,Mike Figgis,2625
Matt Dillon,Annabella Sciorra,Mary-Louise Parker,William Hurt,,,,,,,Anthony Minghella,31911
,,,,,,,,,,Chris Columbus,788
David Thewlis,Lesley Sharp,Katrin Cartlidge,Greg Cruttwell,Claire Skinner,Peter Wight,Ewen Bremner,Toby Jones,Gina McKee,Elizabeth Berrington,Mike Leigh,21450
,,,,,,,,,,Christopher Cain,11231
Peter Weller,Judy Davis,Patrick Bauchau,Adam West,Paula Marshall,Rachel Rosenthal,Patricia Heaton,Samuel L. Jackson,Corbin Bernsen,Rebecca Staab,Michael Tolkin,41588
,,,,,,,,,,Martin Campbell,10447
,,,,,,,,,,Rob Reiner,31586
,,,,,,,,,,Sally Potter,9300
,,,,,,,,,,Clint Eastwood,9559
,,,,,,,,,,Jonathan Demme,9800
,,,,,,,,,,Jane Campion,713
,,,,,,,,,,John Singleton,8291
,,,,,,,,,,David S. Ward,18133
,,,,,,,,,,Stuart Orme,25557
,,,,,,,,,,Mel Smith,22588
,,,,,,,,,,Ted Demme,10872
,,,,,,,,,,James Ivory,1245
,,,,,,,,,,Penny Marshall,11858
,,,,,,,,,,Philip Kaufman,7007
Anthony Hopkins,Bridget Fonda,Matthew Broderick,John Cusack,Dana Carvey,Colm Meaney,Lara Flynn Boyle,John Neville,Traci Lind,,Alan Parker,10467
,,,,,,,,,,Fred Dekker,5550
,,,,,,,,,,Mel Brooks,8005
,,,,,,,,,,Peter Medak,2088
Russell Crowe,Daniel Pollock,Jacqueline McKenzie,Alex Scott,Leigh Russell,Daniel Wyllie,,,,,Geoffrey Wright,10412
Ashley Judd,Todd Field,Bentley Mitchum,Dorothy Lyman,Allison Dean,Betsy Douds,Felicia Hernández,Divya Satia,Bobby Barnes,,Victor Nunez,47889
,,,,,,,,,,David Anspaugh,14534
Danny Glover,Matt Dillon,Rick Aviles,Nina Siemaszko,Ving Rhames,Adam Trese,,,,,Tim Hunter,56583
Cyril Collard,Romane Bohringer,Carlos López,Corine Blue,Claude Winter,René-Marc Bini,Maria Schneider,,,,Cyril Collard,41878
,,,,,,,,,,Steven Spielberg,424
Brendan Fraser,Albert Brooks,Dianne Wiest,Anne Twomey,Lane Smith,Michael Rapaport,Barry Shabaka Henley,John Capodice,J.K. Simmons,,Michael Ritchie,35233
,,,,,,,,,,Steven Zaillian,14291
William Hurt,Nathan Yapp,Keith Allen,Jane Horrocks,Alan Cumming,John Hurt,,,,,Chris Menges,103413
,,,,,,,,,,Agnieszka Holland,11236
,,,,,,,,,,John Waters,11592
,,,,,,,,,,Russell Mulcahy,8850
,,,,,,,,,,Richard Attenborough,10445
,,,,,,,,,,Robert Altman,695
Steve Martin,Anne Heche,Gabriel Byrne,Laura Linney,Catherine O'Hara,Stephen Baldwin,,,,,Gillies MacKinnon,43535
Hugh Grant,Tara Fitzgerald,Sam Neill,Elle Macpherson,Portia de Rossi,Kate Fischer,Pamela Rabe,Ben Mendelsohn,John Polson,Mark Gerber,John Duigan,12519
,,,,,,,,,,Fred Schepisi,23210
,,,,,,,,,,Nora Ephron,858
,,,,,,,,,,Phillip Noyce,867
,,,,,,,,,,Ridley Scott,78
Pauly Shore,Carla Gugino,Lane Smith,Tiffani Thiessen,Cindy Pickett,Mason Adams,Patrick Renna,Dennis Burkley,Dan Gauthier,,Steve Rash,13203
,,,,,,,,,,Thomas Schlamme,10442
,,,,,,,,,,Rowdy Herrington,11074
Nastassja Kinski,Ben Kingsley,Zohra Sehgal,Dennis Goldson,Michel Robin,Juliette Simpson,Rosanne Katon,,,,Arthur Joffé,33367
Bob Hoskins,John Leguizamo,Dennis Hopper,Samantha Mathis,Fisher Stevens,Richard Edson,Fiona Shaw,Mojo Nixon,Lance Henriksen,Dan Castellaneta,Rocky Morton,9607
Ice-T,Rutger Hauer,Charles S. Dutton,Gary Busey,John C. McGinley,F. Murray Abraham,William McNamara,,,,Ernest R. Dickerson,17585
Charlie Sheen,Nastassja Kinski,James Gandolfini,Christopher McDonald,Brooke Langton,Gary Bullock,Melvin Van Peebles,,,,Deran Sarafian,9057
Colm Feore,Derek Keurvorst,Derek Keurvorst,Katya Ladan,Joshua Greenblatt,Sean Ryan,,,,,François Girard,20967
Josh Charles,Stephen Baldwin,Lara Flynn Boyle,Alexis Arquette,Martha Gehman,Mark Arnold,,,,,Andrew Fleming,10635
,,,,,,,,,,Henry Selick,9479
,,,,,,,,,,Stephen Herek,10057
,,,,,,,,,,George P. Cosmatos,11969
,,,,,,,,,,Heywood Gould,41590
,,,,,,,,,,Tony Scott,319
James Carville,George Stephanopoulos,Heather Beckel,Paul Begala,Bob Boorstin,,,,,,Chris Hegedus,26408
,,,,,,,,,,Maurice Hunt,15139
Leslie Hope,Peter Outerbridge,Victor Ertmanis,Dan Lett,Raoul Max Trujillo,Patricia Ciccoritti,,,,,Jerry Ciccoritti,161158
Martha Plimpton,Kelly Lynch,Rutger Hauer,,,,,,,,Jennifer Warren,218473
Anthony LaPaglia,Mimi Rogers,Matt Craven,Peter Boyle,Monika Schnarre,Joseph Maher,,,,,Mark Malone,85247
,,,,,,,,,,Todd Solondz,11446
,,,,,,,,,,Claude Berri,51980
,,,,,,,,,,Dennis Hopper,24405
Federico Luppi,Ron Perlman,Claudio Brook,Margarita Isabel,Tamara Shanath,Mario Iván Martínez,,,,,Guillermo del Toro,11655
,,,,,,,,,,Daniel Algrant,11800
,,,,,,,,,,Pedro Almodóvar,8223
,,,,,,,,,,Gurinder Chadha,14587
Luke Edwards,Timothy Busfield,John Ashton,Dennis Farina,Jonathan Silverman,Jason Robards,Kevin Dunn,,,,Andrew Scheinman,31504
,,,,,,,,,,Åke Sandgren,41653
,,,,,,,,,,Richard Loncraine,53185
Robin Givens,Marco Hofschneider,Rick Johnson,Charlotte Ross,Edward Herrmann,Jack Coleman,Charles S. Dutton,Hinton Battle,Ruth Williamson,Michael Reilly Burke,Eva Sereny,95743
Paolo Villaggio,Gigio Morra,Paolo Bonacelli,,,,,,,,Lina Wertmüller,23637
,,,,,,,,,,David O. Russell,17600
,,,,,,,,,,Penelope Spheeris,10897
Jean Yanne,Ken Higelin,Florence Darel,,,,,,,,Rémy Duchemin,349394
Tina Majorino,Keith Carradine,Chelsea Field,Keith Szarabajka,Joshua Jackson,Shane Meier,Aidan Pendleton,,,,George T. Miller,21352
Claudio Amendola,Carlo Cecchi,Enrico Lo Verso,Ricky Memphis,Tony Sperandeo,Ugo Conti,Leo Gullotta,Nunzia Greco,Francesca d'Aloja,Rita Savagnone,Ricky Tognazzi,68806
Jim Broadbent,Phoebe Cates,Kevin Kline,Stephen Rea,John Lithgow,Wendy Hughes,Kate Ashfield,,,,Michael Austin,37345
,,,,,,,,,,Jeffrey Friedman,32562
Vincent Cassel,Julie Mauduech,Hubert Koundé,Mathieu Kassovitz,,,,,,,Mathieu Kassovitz,47507
,,,,,,,,,,Nanni Moretti,25403
Marcello Mastroianni,Luisina Brando,Alejandra Podesta,Betiana Blum,Roberto Carnaghi,,,,,,María Luisa Bemberg,124304
,,,,,,,,,,Betty Thomas,9066
,,,,,,,,,,Chris Columbus,771
,,,,,,,,,,Jerry Zucker,251
,,,,,,,,,,John Musker,812
,,,,,,,,,,James Cameron,280
,,,,,,,,,,Kevin Costner,581
,,,,,,,,,,Steve Cohen,80350
,,,,,,,,,,Tim Burton,268
,,,,,,,,,,Jonathan Demme,274
,,,,,,,,,,David Hand,408
,,,,,,,,,,Kirk Wise,10020
,,,,,,,,,,Ben Sharpsteen,10895
,,,,,,,,,,Garry Marshall,114
,,,,,,,,,,Yuri Mamin,41043
,,,,,,,,,,Sam Peckinpah,576
,,,,,,,,,,C.M. Talkington,15477
Gu Bao-Ming,Mingjun Kao,Lan Wang,Yumei Wang,Fuli Wang,,,,,,Huang Jianxin,59146
,,,,,,,,,,Jean Bach,124472
Matthew Modine,Paul Reiser,Randy Quaid,Janeane Garofalo,Eliza Dushku,Rob Reiner,Amy Brenneman,,,,Sam Weisman,30528
,,,,,,,,,,Michael Hoffman,7300
,,,,,,,,,,Bill Condon,10824
,,,,,,,,,,Stephen Poliakoff,261246
,,,,,,,,,,Joel Coen,275
,,,,,,,,,,David R. Ellis,25059
,,,,,,,,,,Gerald Potterton,11827
,,,,,,,,,,Joe Chappelle,8766
,,,,,,,,,,Matt Reeves,23570
,,,,,,,,,,Franco Zeffirelli,47333
Oliver Milburn,Catherine McCormack,Thandie Newton,Danny Cunningham,,,,,,,Anna Campion,54850
Nino Manfredi,Johnny Dorelli,Anna Karina,Paolo Turco,Ugo D'Alessio,,,,,,Franco Brusati,51242
,,,,,,,,,,Wolfgang Reitherman,10112
,,,,,,,,,,Pedro Almodóvar,4307
,,,,,,,,,,Fernando Trueba,46029
Matt LeBlanc,Jack Warden,Jayne Brook,Bill Cobbs,Jim Caviezel,Gene Ross,Paul Hewitt,Troy Evans,,,Bill Couturié,32308
,,,,,,,,,,Werner Herzog,88893
,,,,,,,,,,André Téchiné,52873
,,,,,,,,,,,123505
James Russo,Cynda Williams,Paul Calderon,Victor Argo,Jonathan P. Shaw,Amanda Foster,John Ashton,,,,Mika Kaurismäki,340210
Selim Boughedir,Mustafa Adouani,Rabia Ben Abdallah,Mohammed Driss,,,,,,,Férid Boughedir,44281
Lynn Whitfield,Martin Lawrence,Regina King,Della Reese,Bobby Brown,,,,,,Martin Lawrence,28121
,,,,,,,,,,Stacy Title,12520
,,,,,,,,,,Gregory Hoblit,1592
,,,,,,,,,,Clément Virgo,166901
,,,,,,,,,,Bruno Barreto,36447
,,,,,,,,,,Larry Leker,19042
,,,,,,,,,,Ken Loach,38884
Tim Daly,Caroleen Feeney,Dan Gunther,Dana Wheeler-Nicholson,Liev Schreiber,Aida Turturro,Alanna Ubach,Sylvia Miles,,,Hal Salwen,47449
Whoopi Goldberg,George Newbern,Richard Roundtree,Carol Kane,Armin Mueller-Stahl,Juliet Landau,Bud Cort,Joe Dallesandro,Stephen McHattie,Peter MacKenzie,Jonathan R. Betuel,36259
Robert Duvall,James Earl Jones,Michael Beach,Irma P. Hall,Grace Zabriskie,Regina Taylor,David Keith,Jacqueline Williams,Sylvester Stallone,,Richard Pearce,41852
Michael Gunther,Craig Chester,Michael Stock,Raoul O'Connell,Jaie Laplante,Parker Posey,Alexis Arquette,,,,Todd Verow,40926
,,,,,,,,,,Jonathan Lynn,9099
,,,,,,,,,,Tim Sullivan,2021
,,,,,,,,,,Spike Lee,61752
,,,,,,,,,,Jeremiah S. Chechik,10988
Patrick Timsit,Ludwig Briand,Miou-Miou,Thierry Lhermitte,Arielle Dombasle,,,,,,Hervé Palud,11479
,,,,,,,,,,Martin Enlen,398959
,,,,,,,,,,Carlo Rola,287305
Erik Goertz,Anton Rattinger,Dieter Wardetzky,Isabel Trimborn,Ralf Richter,Ellen Umlauf,Jörg Friedrich,,,,,339428
,,,,,,,,,,Claude Sautet,12652
,,,,,,,,,,Edward Zwick,10684
,,,,,,,,,,Brian De Palma,954
Masatoshi Nagase,Lili Taylor,Fisher Stevens,Gísli Halldórsson,Laura Hughes,Seijun Suzuki,Hiromasa Shimada,Masayuki Sasaki,,,Friðrik Þór Friðriksson,68445
Robin Wright,Morgan Freeman,Stockard Channing,John Lynch,Brenda Fricker,Geraldine James,Jim Sheridan,Aisling Corcoran,,,Pen Densham,18989
,,,,,,,,,,Sönke Wortmann,10801
Pang Eun-jin,Hwang Shin-hye,Kim Choo-ryeon,Park Cheol-Ho,,,,,,,Park Chul-soo,54285
,,,,,,,,,,Rob Cohen,8840
Peter Ketnath,Nina Hoss,Steffen Schroeder,Susanna Wellenbrink,Andreas Nickl,Tina Engel,Thomas Anzenhofer,Monika Baumgartner,Burghart Klaußner,,Joseph Vilsmaier,278978
George Tabori,Pauline Collins,Ulrich Tukur,Heribert Sasse,Buddy Elias,Eddi Arent,Robert Giggenbach,Simon Verhoeven,Wolfgang Gasser,,Michael Verhoeven,124625
,,,,,,,,,,Steve Rash,11107
,,,,,,,,,,Gray Hofmeyr,16417
,,,,,,,,,,Richard Wherrett,70934
,,,,,,,,,,René Clément,10363
Anthony Hopkins,Leslie Phillips,Kate Burton,Gawn Grainger,Rhian Morgan,Menna Trussler,Rhys Ifans,,,,Anthony Hopkins,161070
,,,,,,,,,,Henry Selick,10539
Mark Wahlberg,Reese Witherspoon,William Petersen,Alyssa Milano,Amy Brenneman,Christopher Gray,Tracy Fraim,Gary Riley,Jason Kristofer,Jed Rees,James Foley,10543
,,,,,,,,,,Kelly Makin,18414
Cher,Chazz Palminteri,Ryan O'Neal,Paul Mazursky,Amber Smith,Elisa Leonetti,Mark Nassar,Stephen Spinella,Jeffrey Wright,Allison Janney,Paul Mazursky,47502
,,,,,,,,,,Emir Kusturica,11902
Johan Widerberg,Marika Lagercrantz,Tomas von Brömssen,Karin Huldt,Nina Gunke,Björn Kjellman,Kenneth Milldoff,Frida Lindholm,Sigge Cederlund,,Bo Widerberg,27098
Daniel Bernhardt,Pat Morita,Donald Gibb,James Hong,Lori Lynn Dickerson,Philip Tan,Ong Soo Han,,,,Alan Mehrez,25087
,,,,,,,,,,Satyajit Ray,5801
Soumitra Chatterjee,Sharmila Tagore,Alok Chakravarty,Swapan Mukherjee,Dhiresh Majumdar,Sefalika Devi,Dhiren Ghosh,,,,Satyajit Ray,896
Michael J. Nelson,Trace Beaulieu,Jim Mallon,Kevin Murphy,John Brady,,,,,,Jim Mallon,3065
,,,,,,,,,,,318177
,,,,,,,,,,Joe Pytka,2300
,,,,,,,,,,Roger Vadim,8069
Tia Carrere,Rigg Kennedy,Lisa Dean Ryan,Tricia Leigh Fisher,Carlos Gómez,,,,,,Catherine Cyran,288173
